id;code;code_id;label_en;label_fi;label_sv
1;AGP repurpose;Ball Consultant;virtual payment system-worthy;SAS red redefine;Granite Interactions
2;target bricks-and-clicks Thailand;France bus cross-platform;Cedi;program;Loan object-oriented
3;Cape;Avon;Facilitator violet;alarm;Soft Web
4;Factors;primary Outdoors neural;web;connect disintermediate;Common Generic
5;Home Stravenue;Cambridgeshire Ariary Fantastic;Corporate real-time envisioneer;Tanzania USB;SQL
6;Borders;scale Music calculate;Unbranded;Moldovan;Mouse Dollar digital
7;leading-edge Pizza Bahamian;Borders;state azure parsing;Technician Investor Lari;Home green
8;sticky tolerance evolve;Cheese synergize Officer;Egypt;paradigms 1080p;back
9;Factors synthesizing;Coordinator;ROI Pizza;Engineer directional viral;Intelligent functionalities compressing
10;invoice overriding Refined;visionary;user-facing Ball;Loan;Home
